story,incident,stem,href
Spite Their Face,Suryadarma Takes Fowlers Fuel Allowance,suryadarma_takes_fowlers_fuel_allowance,[Suryadarma Takes Fowlers Fuel Allowance](../synopsis/suryadarma_takes_fowlers_fuel_allowance.md)
Spite Their Face,Fighter Planes Tailing Him,fighter_planes_tailing_him,[Fighter Planes Tailing Him](../synopsis/fighter_planes_tailing_him.md)
Spite Their Face,Suryadarma Takes Fuel Allowance,suryadarma_takes_fuel_allowance,[Suryadarma Takes Fuel Allowance](../synopsis/suryadarma_takes_fuel_allowance.md)
Spite Their Face,Last Flight,last_flight,[Last Flight](../synopsis/last_flight.md)
Strung Along,Richard Wants Research,backgrounder,[Richard Wants Research](../synopsis/backgrounder.md)
Strung Along,Richard Accepts Story,richard_accepts_story,[Richard Accepts Story](../synopsis/richard_accepts_story.md)
Strung Along,Richard Annoyed,richard_annoyed,[Richard Annoyed](../synopsis/richard_annoyed.md)
Strung Along,Cameron Kept Waiting,cameron_kept_waiting,[Cameron Kept Waiting](../synopsis/cameron_kept_waiting.md)
Strung Along,Warning Letter,warning_letter,[Warning Letter](../synopsis/warning_letter.md)
Strung Along,Cameron Assigned Syd Interview,cameron_assigned_syd_interview,[Cameron Assigned Syd Interview](../synopsis/cameron_assigned_syd_interview.md)
Strung Along,Drinks With Our Reporter,drinks_with_our_reporter,[Drinks With Our Reporter](../synopsis/drinks_with_our_reporter.md)
Strung Along,Cameron Put On Notice,cameron_put_on_notice,[Cameron Put On Notice](../synopsis/cameron_put_on_notice.md)
Strung Along,Menacing Encounter,menacing_encounter,[Menacing Encounter](../synopsis/menacing_encounter.md)
Strung Along,Pasta With Yapto,pasta_with_yapto,[Pasta With Yapto](../synopsis/pasta_with_yapto.md)
Strung Along,Cameron Loses Visa,cameron_loses_visa,[Cameron Loses Visa](../synopsis/cameron_loses_visa.md)
Tentara Pelajar,Primitivo Introduces Muharto,primitivo_introduces_muharto,[Primitivo Introduces Muharto](../synopsis/primitivo_introduces_muharto.md)
Tentara Pelajar,Party Animal,party_animal,[Party Animal](../synopsis/party_animal.md)
Tentara Pelajar,Ining Will Train Students,ining_will_train_students,[Ining Will Train Students](../synopsis/ining_will_train_students.md)
Tentara Pelajar,Muharto Asks George,muharto_asks_george,[Muharto Asks George](../synopsis/muharto_asks_george.md)
Tentara Pelajar,Ining Asks To Return,ining_asks_to_return,[Ining Asks To Return](../synopsis/ining_asks_to_return.md)
Tentara Pelajar,Ining Is Dood,ining_is_dood,[Ining Is Dood](../synopsis/ining_is_dood.md)
Tentara Pelajar,Muharto Accused,muharto_accused,[Muharto Accused](../synopsis/muharto_accused.md)
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
No Data,No Data,No Data,
